"CruiseID";"Date";"Depth";"Salinity";"Prochlorococcus";"HeterotrophBacteria";"Synechococcus";"PicoEukaryotes";"Year";"Month";"Day"
329;2021-04-13;5;34,8153;178650;385861;1395;1562;2021;4;13
329;2021-04-13;25;34,8538;187059;424074;1547;1495;2021;4;13
329;2021-04-13;45;34,9819;226525;408007;1697;1346;2021;4;13
329;2021-04-13;75;35,0579;216127;330046;1635;1389;2021;4;13
329;2021-04-13;100;35,1002;158692;326487;148;2478;2021;4;13
329;2021-04-13;125;34,9463;40617;194170;0;1380;2021;4;13
329;2021-04-13;150;34,819;3939;182959;0;331;2021;4;13
329;2021-04-13;175;34,65;246;149728;0;54;2021;4;13
330;2021-05-16;5;34,7152;200630;430136;905;1007;2021;5;16
330;2021-05-16;25;34,7152;200982;415143;878;1161;2021;5;16
330;2021-05-16;45;34,7353;185581;421318;1064;1089;2021;5;16
330;2021-05-16;75;34,9113;184029;378876;1147;1305;2021;5;16
330;2021-05-16;100;35,0155;93324;387715;220;5142;2021;5;16
330;2021-05-16;125;35,06;50738;266125;31;3771;2021;5;16
330;2021-05-16;150;34,9601;15968;201183;0;584;2021;5;16
330;2021-05-16;175;34,8932;11156;198615;0;472;2021;5;16
331;2021-06-22;5;34,7217;187939;-9;886;627;2021;6;22
331;2021-06-22;25;34,7162;207349;-9;775;488;2021;6;22
331;2021-06-22;45;34,7722;228280;-9;938;948;2021;6;22
331;2021-06-22;75;34,8853;236420;-9;1181;744;2021;6;22
331;2021-06-22;100;35,0659;210271;-9;840;613;2021;6;22
331;2021-06-22;125;35,0868;104083;-9;538;1387;2021;6;22
331;2021-06-22;150;35,1087;35836;-9;31;1613;2021;6;22
331;2021-06-22;175;34,915;13296;-9;19;506;2021;6;22
332;2021-07-17;5;34,7714;173669;454340;688;652;2021;7;17
332;2021-07-17;25;34,7935;176090;427193;771;731;2021;7;17
332;2021-07-17;45;34,9793;204756;425106;766;811;2021;7;17
332;2021-07-17;75;35,0734;186080;371010;971;660;2021;7;17
332;2021-07-17;100;35,1201;135426;334948;647;590;2021;7;17
332;2021-07-17;125;35,1234;47000;275752;0;1825;2021;7;17
332;2021-07-17;150;34,9481;13208;176570;0;494;2021;7;17
332;2021-07-17;175;34,7878;-9;-9;-9;-9;2021;7;17
333;2021-10-29;5;35,1287;248691;490648;1326;462;2021;10;29
333;2021-10-29;25;35,1293;243613;517253;1452;450;2021;10;29
333;2021-10-29;45;35,1148;290846;509828;1763;578;2021;10;29
333;2021-10-29;75;35,0813;231074;441254;1751;553;2021;10;29
333;2021-10-29;100;35,0929;125136;355676;635;742;2021;10;29
333;2021-10-29;125;35,1386;50628;294597;10;1915;2021;10;29
333;2021-10-29;150;35,1049;8121;224581;0;323;2021;10;29
333;2021-10-29;175;34,9947;1730;197260;0;129;2021;10;29
335;2022-03-27;5;35,0646;203731;473597;1141;1110;2022;3;27
335;2022-03-27;25;35,0646;192127;404328;1118;926;2022;3;27
335;2022-03-27;45;35,0699;210260;414594;1233;1046;2022;3;27
335;2022-03-27;75;35,2002;241558;445757;1660;937;2022;3;27
335;2022-03-27;100;35,2079;235556;297424;997;809;2022;3;27
335;2022-03-27;125;35,1825;96306;276942;31;2171;2022;3;27
335;2022-03-27;150;35,0772;35326;190362;5;1308;2022;3;27
335;2022-03-27;175;34,9589;5657;161595;20;254;2022;3;27
336;2022-05-26;5;34,7419;144361;413003;1335;769;2022;5;26
336;2022-05-26;25;34,7425;149873;416244;1073;622;2022;5;26
336;2022-05-26;45;34,8644;139715;514472;951;819;2022;5;26
336;2022-05-26;75;34,9463;158137;493012;937;887;2022;5;26
336;2022-05-26;100;35,1317;181187;408643;1467;700;2022;5;26
336;2022-05-26;125;35,1754;148608;334890;1013;592;2022;5;26
336;2022-05-26;150;35,1285;43426;235725;10;1152;2022;5;26
336;2022-05-26;175;35,0663;10118;212715;5;422;2022;5;26
337;2022-07-09;5;35,2361;167073;422301;791;591;2022;7;9
337;2022-07-09;25;35,2357;165047;398142;806;354;2022;7;9
337;2022-07-09;45;35,2351;167246;423766;735;599;2022;7;9
337;2022-07-09;75;35,2022;169453;382707;826;574;2022;7;9
337;2022-07-09;100;35,1941;83378;252796;285;678;2022;7;9
337;2022-07-09;125;35,1764;41818;243290;120;744;2022;7;9
337;2022-07-09;150;35,1343;24028;215644;9;882;2022;7;9
337;2022-07-09;175;35,0547;13822;185372;30;494;2022;7;9
338;2022-07-30;5;35,3072;139669;532569;488;376;2022;7;30
338;2022-07-30;25;35,3072;165772;585827;747;283;2022;7;30
338;2022-07-30;45;35,2895;176931;535981;872;412;2022;7;30
338;2022-07-30;75;35,2103;235387;404267;821;415;2022;7;30
338;2022-07-30;100;35,1928;177704;282820;1281;509;2022;7;30
338;2022-07-30;125;35,2282;85201;240635;141;1385;2022;7;30
338;2022-07-30;150;35,1902;23672;225856;5;551;2022;7;30
338;2022-07-30;175;35,1224;6397;197971;0;237;2022;7;30
339;2022-09-01;5;34,9929;151246;446299;1236;659;2022;9;1
339;2022-09-01;25;34,9872;155025;455083;1539;769;2022;9;1
339;2022-09-01;45;35,05;218571;512309;1417;922;2022;9;1
339;2022-09-01;75;35,1478;200248;370916;1742;910;2022;9;1
339;2022-09-01;100;35,1896;121881;251964;150;1067;2022;9;1
339;2022-09-01;125;35,141;24478;200659;7;790;2022;9;1
339;2022-09-01;150;35,0502;13892;161622;10;409;2022;9;1
339;2022-09-01;175;34,9628;4569;149048;0;173;2022;9;1
